County or equivalent,State or equivalent,Population (2020 census),Area (mi^2),Core-based statistical area
Randolph,Indiana,"24,502",452,
Ripley,Indiana,"28,995",446,
Rush,Indiana,"16,752",408,
St. Joseph,Indiana,"272,912",458,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area"
Scott,Indiana,"24,384",190,"Scottsburg, IN Micropolitan Statistical Area"
Shelby,Indiana,"45,055",411,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area"
Spencer,Indiana,"19,810",397,
Starke,Indiana,"23,371",309,
Steuben,Indiana,"34,435",309,"Angola, IN Micropolitan Statistical Area"
Sullivan,Indiana,"20,817",447,"Terre Haute, IN Metropolitan Statistical Area"
Switzerland,Indiana,"9,737",221,
Tippecanoe,Indiana,"186,251",500,"Lafayette-West Lafayette, IN Metropolitan Statistical Area"
Tipton,Indiana,"15,359",261,
Union,Indiana,"7,087",161,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Vanderburgh,Indiana,"180,136",233,"Evansville, IN-KY Metropolitan Statistical Area"
Vermillion,Indiana,"15,439",257,"Terre Haute, IN Metropolitan Statistical Area"
Vigo,Indiana,"106,153",403,"Terre Haute, IN Metropolitan Statistical Area"
Wabash,Indiana,"30,976",412,"Wabash, IN Micropolitan Statistical Area"
Warren,Indiana,"8,440",365,"Lafayette-West Lafayette, IN Metropolitan Statistical Area"
Warrick,Indiana,"63,898",385,"Evansville, IN-KY Metropolitan Statistical Area"
Washington,Indiana,"28,182",514,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Wayne,Indiana,"66,553",402,"Richmond, IN Micropolitan Statistical Area"
Wells,Indiana,"28,180",368,"Bluffton, IN Micropolitan Statistical Area"
White,Indiana,"24,688",505,
Whitley,Indiana,"34,191",336,"Fort Wayne, IN Metropolitan Statistical Area"
Adair,Iowa,"7,496",569,
Adams,Iowa,"3,704",424,
Allamakee,Iowa,"14,061",640,
Appanoose,Iowa,"12,317",496,
Audubon,Iowa,"5,674",443,
Benton,Iowa,"25,575",716,"Cedar Rapids, IA Metropolitan Statistical Area"
Black Hawk,Iowa,"131,144",567,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area"
Boone,Iowa,"26,715",572,"Ames, IA Metropolitan Statistical Area"
Bremer,Iowa,"24,988",428,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area"
Buchanan,Iowa,"20,565",571,
Buena Vista,Iowa,"20,823",575,"Storm Lake, IA Micropolitan Statistical Area"
Butler,Iowa,"14,334",580,
Calhoun,Iowa,"9,927",570,
Carroll,Iowa,"20,760",569,"Carroll, IA Micropolitan Statistical Area"
Cass,Iowa,"13,127",564,
Cedar,Iowa,"18,505",580,
Cerro Gordo,Iowa,"43,127",568,"Mason City, IA Micropolitan Statistical Area"
Cherokee,Iowa,"11,658",577,
Chickasaw,Iowa,"12,012",505,
Clarke,Iowa,"9,748",431,
Clay,Iowa,"16,384",569,"Spencer, IA Micropolitan Statistical Area"
Clayton,Iowa,"17,043",779,
Clinton,Iowa,"46,460",695,"Clinton, IA Micropolitan Statistical Area"
Crawford,Iowa,"16,525",714,
Dallas,Iowa,"99,678",586,"Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Davis,Iowa,"9,110",503,
Decatur,Iowa,"7,645",532,
Delaware,Iowa,"17,488",578,
Des Moines,Iowa,"38,910",416,"Burlington, IA-IL Micropolitan Statistical Area"
Dickinson,Iowa,"17,703",381,"Spirit Lake, IA Micropolitan Statistical Area"
Dubuque,Iowa,"99,266",608,"Dubuque, IA Metropolitan Statistical Area"
Emmet,Iowa,"9,388",396,
Fayette,Iowa,"19,509",731,
Floyd,Iowa,"15,627",501,
Franklin,Iowa,"10,019",582,
Fremont,Iowa,"6,605",511,
Greene,Iowa,"8,771",568,
Grundy,Iowa,"12,329",503,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area"
Guthrie,Iowa,"10,623",591,"Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Hamilton,Iowa,"15,039",577,
Hancock,Iowa,"10,795",571,
Hardin,Iowa,"16,878",569,
Harrison,Iowa,"14,582",697,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Henry,Iowa,"20,482",434,
Howard,Iowa,"9,469",473,
Humboldt,Iowa,"9,597",434,
Ida,Iowa,"7,005",432,
Iowa,Iowa,"16,662",586,
Jackson,Iowa,"19,485",636,
Jasper,Iowa,"37,813",730,"Des Moines, IA Metropolitan Statistical Area"
Jefferson,Iowa,"15,663",435,"Fairfield, IA Micropolitan Statistical Area"
Johnson,Iowa,"152,854",614,"Iowa City, IA Metropolitan Statistical Area"
Jones,Iowa,"20,646",575,"Cedar Rapids, IA Metropolitan Statistical Area"
Keokuk,Iowa,"10,033",579,
Kossuth,Iowa,"14,828",973,
Lee,Iowa,"33,555",517,"Fort Madison-Keokuk, IA-IL-MO Micropolitan Statistical Area"
Linn,Iowa,"230,299",718,"Cedar Rapids, IA Metropolitan Statistical Area"
Louisa,Iowa,"10,837",402,
Lucas,Iowa,"8,634",431,
Lyon,Iowa,"11,934",588,
Madison,Iowa,"16,548",561,"Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Mahaska,Iowa,"22,190",571,"Oskaloosa, IA Micropolitan Statistical Area"
Marion,Iowa,"33,414",554,"Pella, IA Micropolitan Statistical Area"
Marshall,Iowa,"40,105",572,"Marshalltown, IA Micropolitan Statistical Area"
Mills,Iowa,"14,484",437,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Mitchell,Iowa,"10,565",469,
Monona,Iowa,"8,751",693,
Monroe,Iowa,"7,577",433,
Montgomery,Iowa,"10,330",424,
Muscatine,Iowa,"43,235",439,"Muscatine, IA Micropolitan Statistical Area"
O'Brien,Iowa,"14,182",573,
Osceola,Iowa,"6,192",399,
Page,Iowa,"15,211",535,
Palo Alto,Iowa,"8,996",564,
Plymouth,Iowa,"25,698",864,
Pocahontas,Iowa,"7,078",578,
Polk,Iowa,"492,401",570,"Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Pottawattamie,Iowa,"93,667",954,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Poweshiek,Iowa,"18,662",585,
Ringgold,Iowa,"4,663",538,
Sac,Iowa,"9,814",576,
Scott,Iowa,"174,669",458,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area"
Shelby,Iowa,"11,746",591,
Sioux,Iowa,"35,872",768,
Story,Iowa,"98,537",573,"Ames, IA Metropolitan Statistical Area"
Tama,Iowa,"17,135",721,
Taylor,Iowa,"5,896",534,
Union,Iowa,"12,138",424,
Van Buren,Iowa,"7,203",485,
Wapello,Iowa,"35,437",432,"Ottumwa, IA Micropolitan Statistical Area"
Warren,Iowa,"52,403",572,"Des Moines-West Des Moines, IA Metropolitan Statistical Area"
Washington,Iowa,"22,565",569,"Iowa City, IA Metropolitan Statistical Area"
Wayne,Iowa,"6,497",526,
Webster,Iowa,"36,999",715,"Fort Dodge, IA Micropolitan Statistical Area"
Winnebago,Iowa,"10,679",400,
Winneshiek,Iowa,"20,070",690,
Woodbury,Iowa,"105,941",873,"Sioux City, IA-NE-SD Metropolitan Statistical Area"
Worth,Iowa,"7,443",400,"Mason City, IA Micropolitan Statistical Area"
Wright,Iowa,"12,943",581,
Allen,Kansas,"12,526",503,
Anderson,Kansas,"7,836",583,
Atchison,Kansas,"16,348",432,"Atchison, KS Micropolitan Statistical Area"
Barber,Kansas,"4,228",1134,
Barton,Kansas,"25,493",894,"Great Bend, KS Micropolitan Statistical Area"
Bourbon,Kansas,"14,360",637,
Brown,Kansas,"9,508",571,
Butler,Kansas,"67,380",1428,"Wichita, KS Metropolitan Statistical Area"
Chase,Kansas,"2,572",776,"Emporia, KS Micropolitan Statistical Area"
Chautauqua,Kansas,"3,379",642,
Cherokee,Kansas,"19,362",587,
Cheyenne,Kansas,"2,616",1020,
Clark,Kansas,"1,991",975,
Clay,Kansas,"8,117",644,
Cloud,Kansas,"9,032",716,
Coffey,Kansas,"8,360",630,
Comanche,Kansas,"1,689",788,
Cowley,Kansas,"34,549",1126,"Winfield, KS Micropolitan Statistical Area"
Crawford,Kansas,"38,972",593,"Pittsburg, KS Micropolitan Statistical Area"
Decatur,Kansas,"2,764",894,
Dickinson,Kansas,"18,402",848,
Doniphan,Kansas,"7,510",392,"St. Joseph, MO-KS Metropolitan Statistical Area"
Douglas,Kansas,"118,785",457,"Lawrence, KS Metropolitan Statistical Area"
Edwards,Kansas,"2,907",622,
Elk,Kansas,"2,483",648,
Ellis,Kansas,"28,934",900,"Hays, KS Micropolitan Statistical Area"
Ellsworth,Kansas,"6,376",716,
Finney,Kansas,"38,470",1300,"Garden City, KS Micropolitan Statistical Area"
Ford,Kansas,"34,287",1099,"Dodge City, KS Micropolitan Statistical Area"
Franklin,Kansas,"25,996",574,"Ottawa, KS Micropolitan Statistical Area"
Geary,Kansas,"36,739",384,"Manhattan, KS Metropolitan Statistical Area"
Gove,Kansas,"2,718",1072,
Graham,Kansas,"2,415",898,
Grant,Kansas,"7,352",575,
Gray,Kansas,"5,653",869,
Greeley,Kansas,"1,284",778,
Greenwood,Kansas,"6,016",1140,
Hamilton,Kansas,"2,518",996,
Harper,Kansas,"5,485",802,
Harvey,Kansas,"34,024",539,"Wichita, KS Metropolitan Statistical Area"
Haskell,Kansas,"3,780",577,
Hodgeman,Kansas,"1,723",860,
Jackson,Kansas,"13,232",657,"Topeka, KS Metropolitan Statistical Area"
Jefferson,Kansas,"18,368",536,"Topeka, KS Metropolitan Statistical Area"
Jewell,Kansas,"2,932",909,
Johnson,Kansas,"609,863",477,"Kansas City, MO-KS Metropolitan Statistical Area"
Kearny,Kansas,"3,983",870,"Garden City, KS Micropolitan Statistical Area"
Kingman,Kansas,"7,470",864,
Kiowa,Kansas,"2,460",722,
Labette,Kansas,"20,184",649,"Parsons, KS Micropolitan Statistical Area"
Lane,Kansas,"1,574",717,
Leavenworth,Kansas,"81,881",463,"Kansas City, MO-KS Metropolitan Statistical Area"
Lincoln,Kansas,"2,939",719,
Linn,Kansas,"9,591",599,"Kansas City, MO-KS Metropolitan Statistical Area"
Logan,Kansas,"2,762",1073,
Lyon,Kansas,"32,179",851,"Emporia, KS Micropolitan Statistical Area"
Marion,Kansas,"11,823",903,
Marshall,Kansas,"10,038",900,
McPherson,Kansas,"30,223",943,"McPherson, KS Micropolitan Statistical Area"
Meade,Kansas,"4,055",978,
Miami,Kansas,"34,191",577,"Kansas City, MO-KS Metropolitan Statistical Area"
Mitchell,Kansas,"5,796",700,
Montgomery,Kansas,"31,486",645,"Coffeyville, KS Micropolitan Statistical Area"
Morris,Kansas,"5,386",697,
Morton,Kansas,"2,701",730,
Nemaha,Kansas,"10,273",719,
Neosho,Kansas,"15,904",572,
Ness,Kansas,"2,687",1075,
Norton,Kansas,"5,459",878,
Osage,Kansas,"15,766",704,"Topeka, KS Metropolitan Statistical Area"
Osborne,Kansas,"3,500",893,
Ottawa,Kansas,"5,735",721,"Salina, KS Micropolitan Statistical Area"
Pawnee,Kansas,"6,253",754,
Phillips,Kansas,"4,981",886,
Pottawatomie,Kansas,"25,348",844,"Manhattan, KS Metropolitan Statistical Area"
Pratt,Kansas,"9,157",735,
Rawlins,Kansas,"2,561",1070,
Reno,Kansas,"61,898",1254,"Hutchinson, KS Micropolitan Statistical Area"
Republic,Kansas,"4,674",716,
Rice,Kansas,"9,427",727,
Riley,Kansas,"71,959",610,"Manhattan, KS Metropolitan Statistical Area"
Rooks,Kansas,"4,919",888,
Rush,Kansas,"2,956",718,
Russell,Kansas,"6,691",885,
Saline,Kansas,"54,303",720,"Salina, KS Micropolitan Statistical Area"
Scott,Kansas,"5,151",718,
Sedgwick,Kansas,"523,824",1000,"Wichita, KS Metropolitan Statistical Area"
Seward,Kansas,"21,964",640,"Liberal, KS Micropolitan Statistical Area"
Shawnee,Kansas,"178,909",550,"Topeka, KS Metropolitan Statistical Area"
Sheridan,Kansas,"2,447",896,
Sherman,Kansas,"5,927",1056,
Smith,Kansas,"3,570",896,
Stafford,Kansas,"4,072",792,
Stanton,Kansas,"2,084",680,
Stevens,Kansas,"5,250",728,
Sumner,Kansas,"22,382",1182,"Wichita, KS Metropolitan Statistical Area"
Thomas,Kansas,"7,930",1075,
Trego,Kansas,"2,808",888,
Wabaunsee,Kansas,"6,877",798,"Topeka, KS Metropolitan Statistical Area"
Wallace,Kansas,"1,512",914,
Washington,Kansas,"5,530",898,
Wichita,Kansas,"2,152",719,
Wilson,Kansas,"8,624",574,
Woodson,Kansas,"3,115",501,
Wyandotte,Kansas,"169,245",151,"Kansas City, MO-KS Metropolitan Statistical Area"
Adair,Kentucky,"18,903",407,
Allen,Kentucky,"20,588",3446,"Bowling Green, KY Metropolitan Statistical Area"
Anderson,Kentucky,"23,852",203,"Frankfort, KY Micropolitan Statistical Area"
Ballard,Kentucky,"7,728",251,"Paducah, KY-IL Micropolitan Statistical Area"
Barren,Kentucky,"44,485",491,"Glasgow, KY Micropolitan Statistical Area"
Bath,Kentucky,"12,750",279,"Mount Sterling, KY Micropolitan Statistical Area"
Bell,Kentucky,"24,097",361,"Middlesborough, KY Micropolitan Statistical Area"
Boone,Kentucky,"135,968",246,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Bourbon,Kentucky,"20,252",291,"Lexington-Fayette, KY Metropolitan Statistical Area"
Boyd,Kentucky,"48,261",160,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Boyle,Kentucky,"30,614",182,"Danville, KY Micropolitan Statistical Area"
Bracken,Kentucky,"8,400",203,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Breathitt,Kentucky,"13,718",495,
Breckinridge,Kentucky,"20,432",572,
Bullitt,Kentucky,"82,217",299,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Butler,Kentucky,"12,371",428,"Bowling Green, KY Metropolitan Statistical Area"
Caldwell,Kentucky,"12,649",347,
Calloway,Kentucky,"37,103",386,"Murray, KY Micropolitan Statistical Area"
Campbell,Kentucky,"93,076",152,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Carlisle,Kentucky,"4,826",192,
Carroll,Kentucky,"10,810",130,
Carter,Kentucky,"26,627",411,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Casey,Kentucky,"15,941",446,
Christian,Kentucky,"72,748",721,"Clarksville, TN-KY Metropolitan Statistical Area"
Clark,Kentucky,"36,972",254,"Lexington-Fayette, KY Metropolitan Statistical Area"
Clay,Kentucky,"20,345",471,"London, KY Micropolitan Statistical Area"
Clinton,Kentucky,"9,253",198,
Crittenden,Kentucky,"8,990",362,
Cumberland,Kentucky,"5,888",306,
Daviess,Kentucky,"103,312",462,"Owensboro, KY Metropolitan Statistical Area"
Edmonson,Kentucky,"12,126",303,"Bowling Green, KY Metropolitan Statistical Area"
Elliott,Kentucky,"7,354",234,
Estill,Kentucky,"14,163",254,Richmond-Berea KY Micropolitan Statistical Area
Fayette,Kentucky,"322,570",284,"Lexington-Fayette, KY Metropolitan Statistical Area"
Fleming,Kentucky,"15,082",351,
Floyd,Kentucky,"35,942",394,
Franklin,Kentucky,"51,541",210,"Frankfort, KY Micropolitan Statistical Area"
Fulton,Kentucky,"6,515",209,
Gallatin,Kentucky,"8,690",105,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Garrard,Kentucky,"16,953",231,
Grant,Kentucky,"24,941",260,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Graves,Kentucky,"36,649",556,"Mayfield, KY Micropolitan Statistical Area"
Grayson,Kentucky,"26,420",504,
Green,Kentucky,"11,107",289,"Campbellsville, KY Micropolitan Statistical Area"
Greenup,Kentucky,"35,962",346,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Hancock,Kentucky,"9,095",189,"Owensboro, KY Metropolitan Statistical Area"
Hardin,Kentucky,"110,702",628,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area"
Harlan,Kentucky,"26,831",467,
Harrison,Kentucky,"18,692",310,
Hart,Kentucky,"19,288",416,
Henderson,Kentucky,"44,793",440,"Evansville, IN-KY Metropolitan Statistical Area"
Henry,Kentucky,"15,678",289,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Hickman,Kentucky,"4,521",244,
Hopkins,Kentucky,"45,423",551,"Madisonville, KY Micropolitan Statistical Area"
Jackson,Kentucky,"12,955",346,
Jefferson,Kentucky,"782,969",385,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Jessamine,Kentucky,"52,991",173,"Lexington-Fayette, KY Metropolitan Statistical Area"
Johnson,Kentucky,"22,680",262,
Kenton,Kentucky,"169,064",163,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Knott,Kentucky,"14,251",352,
Knox,Kentucky,"30,193",388,"London, KY Micropolitan Statistical Area"
LaRue,Kentucky,"14,867",263,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area"
Laurel,Kentucky,"62,613",436,"London, KY Micropolitan Statistical Area"
Lawrence,Kentucky,"16,293",419,
Lee,Kentucky,"7,395",210,
Leslie,Kentucky,"10,513",404,
Letcher,Kentucky,"21,548",339,
Lewis,Kentucky,"13,080",484,
Lincoln,Kentucky,"24,275",337,"Danville, KY Micropolitan Statistical Area"
Livingston,Kentucky,"8,888",316,"Paducah, KY-IL Micropolitan Statistical Area"
Logan,Kentucky,"27,432",556,
Lyon,Kentucky,"8,680",216,
Madison,Kentucky,"92,701",441,"Richmond-Berea, KY Micropolitan Statistical Area"
Magoffin,Kentucky,"11,637",310,
Marion,Kentucky,"19,581",347,
Marshall,Kentucky,"31,659",305,
Martin,Kentucky,"11,287",231,
Mason,Kentucky,"17,120",241,"Maysville, KY Micropolitan Statistical Area"
McCracken,Kentucky,"67,875",251,"Paducah, KY-IL Micropolitan Statistical Area"
McCreary,Kentucky,"16,888",428,
McLean,Kentucky,"9,152",254,"Owensboro, KY Metropolitan Statistical Area"
Meade,Kentucky,"30,003",308,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area"
Menifee,Kentucky,"6,113",204,"Mount Sterling, KY Micropolitan Statistical Area"
Mercer,Kentucky,"22,641",251,
Metcalfe,Kentucky,"10,286",291,"Glasgow, KY Micropolitan Statistical Area"
Monroe,Kentucky,"11,338",331,
Montgomery,Kentucky,"28,114",199,"Mount Sterling, KY Micropolitan Statistical Area"
Morgan,Kentucky,"13,726",381,
Muhlenberg,Kentucky,"30,928",475,"Central City, KY Micropolitan Statistical Area"
Nelson,Kentucky,"46,738",423,"Bardstown, KY Micropolitan Statistical Area"
Nicholas,Kentucky,"7,537",197,
Ohio,Kentucky,"23,772",594,
Oldham,Kentucky,"67,607",189,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Owen,Kentucky,"11,278",352,
Owsley,Kentucky,"4,051",198,
Pendleton,Kentucky,"14,644",280,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Perry,Kentucky,"28,473",342,
Pike,Kentucky,"58,669",788,
Powell,Kentucky,"13,129",180,
Pulaski,Kentucky,"65,034",662,"Somerset, KY Micropolitan Statistical Area"
Robertson,Kentucky,"2,193",100,
Rockcastle,Kentucky,"16,037",318,
Rowan,Kentucky,"24,662",281,
Russell,Kentucky,"17,991",254,
Scott,Kentucky,"57,155",285,"Lexington-Fayette, KY Metropolitan Statistical Area"
Shelby,Kentucky,"48,065",384,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Simpson,Kentucky,"19,594",236,
Spencer,Kentucky,"19,490",186,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
Taylor,Kentucky,"26,023",270,"Campbellsville, KY Micropolitan Statistical Area"
Todd,Kentucky,"12,243",376,
Trigg,Kentucky,"14,061",443,"Clarksville, TN-KY Metropolitan Statistical Area"
Trimble,Kentucky,"8,474",149,
Union,Kentucky,"13,668",345,
Warren,Kentucky,"134,554",545,"Bowling Green, KY Metropolitan Statistical Area"
Washington,Kentucky,"12,027",301,
Wayne,Kentucky,"19,555",459,
Webster,Kentucky,"13,017",335,
Whitley,Kentucky,"36,712",440,"London, KY Micropolitan Statistical Area"
Wolfe,Kentucky,"6,562",223,
Woodford,Kentucky,"26,871",191,"Lexington-Fayette, KY Metropolitan Statistical Area"
Acadia Parish,Louisiana,"57,576",658,"Lafayette, LA Metropolitan Statistical Area"
Allen Parish,Louisiana,"22,750",766,
Ascension Parish,Louisiana,"126,500",303,"Baton Rouge, LA Metropolitan Statistical Area"
Assumption Parish,Louisiana,"21,039",364,"Baton Rouge, LA Metropolitan Statistical Area"
Avoyelles Parish,Louisiana,"39,693",866,
Beauregard Parish,Louisiana,"36,549",1166,"DeRidder, LA Micropolitan Statistical Area"
Bienville Parish,Louisiana,"12,981",822,
Bossier Parish,Louisiana,"128,746",867,"Shreveport-Bossier City, LA Metropolitan Statistical Area"
Caddo Parish,Louisiana,"237,848",937,"Shreveport-Bossier City, LA Metropolitan Statistical Area"
Calcasieu Parish,Louisiana,"216,785",1094,"Lake Charles, LA Metropolitan Statistical Area"
Caldwell Parish,Louisiana,"9,645",541,
Cameron Parish,Louisiana,"5,617",1932,"Lake Charles, LA Metropolitan Statistical Area"
Catahoula Parish,Louisiana,"8,906",739,
Claiborne Parish,Louisiana,"14,170",768,
Concordia Parish,Louisiana,"18,687",749,"Natchez, MS-LA Micropolitan Statistical Area"
De Soto Parish,Louisiana,"26,812",895,"Shreveport-Bossier City, LA Metropolitan Statistical Area"
East Baton Rouge Parish,Louisiana,"456,781",471,"Baton Rouge, LA Metropolitan Statistical Area"
East Carroll Parish,Louisiana,"7,459",442,
East Feliciana Parish,Louisiana,"19,539",456,"Baton Rouge, LA Metropolitan Statistical Area"
Evangeline Parish,Louisiana,"32,350",680,
Franklin Parish,Louisiana,"19,774",636,
Grant Parish,Louisiana,"22,169",664,"Alexandria, LA Metropolitan Statistical Area"
Iberia Parish,Louisiana,"69,929",1031,"Lafayette, LA Metropolitan Statistical Area"
Iberville Parish,Louisiana,"30,241",653,"Baton Rouge, LA Metropolitan Statistical Area"
Jackson Parish,Louisiana,"15,031",580,
Jefferson Parish,Louisiana,"440,781",642,"New Orleans-Metairie, LA Metropolitan Statistical Area"
Jefferson Davis Parish,Louisiana,"32,250",659,"Jennings, LA Micropolitan Statistical Area"
Lafayette Parish,Louisiana,"241,753",270,"Lafayette, LA Metropolitan Statistical Area"
Lafourche Parish,Louisiana,"97,557",1472,"Houma-Thibodaux, LA Metropolitan Statistical Area"
LaSalle Parish,Louisiana,"14,791",663,
Lincoln Parish,Louisiana,"48,396",472,"Ruston, LA Micropolitan Statistical Area"
Livingston Parish,Louisiana,"142,282",703,"Baton Rouge, LA Metropolitan Statistical Area"
Madison Parish,Louisiana,"10,017",651,
Morehouse Parish,Louisiana,"25,629",805,"Bastrop, LA Micropolitan Statistical Area"
Natchitoches Parish,Louisiana,"37,515",1299,"Natchitoches, LA Micropolitan Statistical Area"
Orleans Parish,Louisiana,"383,997",350,"New Orleans-Metairie, LA Metropolitan Statistical Area"
Ouachita Parish,Louisiana,"160,368",633,"Monroe, LA Metropolitan Statistical Area"
Plaquemines Parish,Louisiana,"23,515",2429,"New Orleans-Metairie, LA Metropolitan Statistical Area"
Pointe Coupee Parish,Louisiana,"20,758",591,"Baton Rouge, LA Metropolitan Statistical Area"
Rapides Parish,Louisiana,"130,023",1362,"Alexandria, LA Metropolitan Statistical Area"
Red River Parish,Louisiana,"7,620",402,
Richland Parish,Louisiana,"20,043",564,
Sabine Parish,Louisiana,"22,155",1012,
St. Bernard Parish,Louisiana,"43,764",1794,"New Orleans-Metairie, LA Metropolitan Statistical Area"
St. Charles Parish,Louisiana,"52,549",410,"New Orleans-Metairie, LA Metropolitan Statistical Area"
St. Helena Parish,Louisiana,"10,920",409,"Baton Rouge, LA Metropolitan Statistical Area"
St. James Parish,Louisiana,"20,192",258,"New Orleans-Metairie, LA Metropolitan Statistical Area"
St. John the Baptist Parish,Louisiana,"42,477",348,"New Orleans-Metairie, LA Metropolitan Statistical Area"
St. Landry Parish,Louisiana,"82,540",939,"Opelousas, LA Micropolitan Statistical Area"
St. Martin Parish,Louisiana,"51,767",817,"Lafayette, LA Metropolitan Statistical Area"
St. Mary Parish,Louisiana,"49,406",612,"Morgan City, LA Micropolitan Statistical Area"
St. Tammany Parish,Louisiana,"264,570",1124,"New Orleans-Metairie, LA Metropolitan Statistical Area"
Tangipahoa Parish,Louisiana,"133,157",823,"Hammond, LA Metropolitan Statistical Area"
Tensas Parish,Louisiana,"4,147",641,
Terrebonne Parish,Louisiana,"109,580",2080,"Houma-Thibodaux, LA Metropolitan Statistical Area"
Union Parish,Louisiana,"21,107",905,"Monroe, LA Metropolitan Statistical Area"
Vermilion Parish,Louisiana,"57,359",1538,"Lafayette, LA Metropolitan Statistical Area"
Vernon Parish,Louisiana,"48,750",1341,"Fort Polk South, LA Micropolitan Statistical Area"
Washington Parish,Louisiana,"45,463",676,"Bogalusa, LA Micropolitan Statistical Area"
Webster Parish,Louisiana,"36,967",615,"Shreveport-Bossier City, LA Metropolitan Statistical Area"
West Baton Rouge Parish,Louisiana,"27,199",203,"Baton Rouge, LA Metropolitan Statistical Area"
West Carroll Parish,Louisiana,"9,751",360,
West Feliciana Parish,Louisiana,"15,310",426,"Baton Rouge, LA Metropolitan Statistical Area"
Winn Parish,Louisiana,"13,755",957,
Androscoggin,Maine,"111,139",497,"Lewiston-Auburn, ME Metropolitan Statistical Area"
Aroostook,Maine,"67,105",6829,
Cumberland,Maine,"303,069",1217,"Portland-South Portland, ME Metropolitan Statistical Area"
Franklin,Maine,"29,456",1744,
Hancock,Maine,"55,478",2351,
Kennebec,Maine,"123,642",951,"Augusta-Waterville, ME Micropolitan Statistical Area"
Knox,Maine,"40,607",1142,
Lincoln,Maine,"35,237",700,
Oxford,Maine,"57,777",2175,
Penobscot,Maine,"152,199",3556,"Bangor, ME Metropolitan Statistical Area"
Piscataquis,Maine,"16,800",4377,
Sagadahoc,Maine,"36,699",370,"Portland-South Portland, ME Metropolitan Statistical Area"
Somerset,Maine,"50,477",4095,
Waldo,Maine,"39,607",853,
Washington,Maine,"31,095",3255,
York,Maine,"211,972",1271,"Portland-South Portland, ME Metropolitan Statistical Area"
Allegany,Maryland,"68,106",430,"Cumberland, MD-WV Metropolitan Statistical Area"
Anne Arundel,Maryland,"588,261",588,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Baltimore,Maryland,"854,535",682,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Calvert,Maryland,"92,783",92,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Caroline,Maryland,"33,293",345,
Carroll,Maryland,"172,891",326,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Cecil,Maryland,"103,725",452,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Charles,Maryland,"166,617",418,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Dorchester,Maryland,"32,531",643,"Cambridge, MD Micropolitan Statistical Area"
Frederick,Maryland,"271,717",540,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Garrett,Maryland,"28,806",667,
Harford,Maryland,"260,924",656,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Howard,Maryland,"332,317",527,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Kent,Maryland,"19,198",254,
Montgomery,Maryland,"1,062,061",414,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Prince George's,Maryland,"967,201",507,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
