,date
554,
555,2018-03-14
556,2016-06-30
557,2016-11-20
558,2018-02-07
559,2014-08-22
560,
561,2016-12-31
562,2015-02-07
563,2016-03-11
564,2017-06-14
565,2015-09-07
566,2015-04-28
567,
568,2016-02-27
569,2015-08-27
570,2013-08-06
571,2017-11-11
572,2015-02-13
573,
574,2015-08-24
575,2017-07-04
576,2016-06-04
577,2015-08-24
578,2018-03-24
579,2015-04-20
580,2017-07-07
581,2015-01-11
582,2014-08-31
583,2015-11-01
584,2014-11-23
585,
586,2016-10-14
587,2015-08-08
588,
589,2017-08-31
590,2014-02-02
591,2015-02-10
592,2016-03-22
593,2015-12-02
594,2014-11-22
595,2014-01-02
596,2014-07-22
597,2018-01-27
598,2017-08-12
599,
600,2014-09-11
601,2016-06-21
602,2017-07-04
603,2016-01-05
604,
605,2016-08-28
606,2015-08-08
607,2016-03-02
608,2017-12-21
609,2018-02-21
610,2015-07-05
611,2017-01-29
612,2017-07-28
613,2018-01-08
614,2014-04-09
615,2017-01-20
616,2017-09-17
617,2014-05-21
618,2016-09-22
619,
620,2017-08-16
621,2017-08-14
622,2016-09-17
623,2016-08-19
624,
625,2016-03-31
626,2018-01-16
627,2014-11-16
628,2017-08-04
629,2015-12-17
630,2016-11-01
631,2017-02-19
632,2018-01-12
633,2016-10-10
634,2015-12-01
635,2017-07-25
636,2014-11-09
637,2017-05-06
638,2014-06-15
639,2017-01-25
640,
641,
642,2014-08-09
643,2015-08-08
644,2017-08-18
645,2016-12-12
646,2016-01-27
647,2014-04-22
648,2016-04-09
649,2014-12-23
650,2016-02-03
651,2018-02-10
652,2016-03-05
653,2017-01-03
654,2017-04-26
655,2015-02-25
656,2017-04-17
657,2015-04-28
658,2015-04-09
659,2017-12-01
660,2016-03-29
661,2018-02-16
662,2018-03-20
663,2017-10-03
664,2018-03-04
665,2017-02-15
666,2017-08-20
667,2014-06-16
668,2016-12-04
669,2016-12-19
670,2015-10-17
671,2015-04-30
672,2014-09-28
673,2014-10-22
674,2017-09-12
675,2017-09-21
676,2015-10-28
677,2014-03-19
678,2017-04-01
679,2016-06-10
680,2016-10-27
681,2016-02-13
682,2014-07-08
683,2017-09-08
684,2015-04-01
685,2017-12-08
686,2014-05-19
687,2016-07-04
688,2016-07-17
689,2014-12-18
690,
691,2015-11-17
692,
693,
694,2017-08-02
695,2014-06-22
696,2015-09-05
697,2017-09-10
698,2016-09-05
699,2016-11-26
700,
701,
702,2016-03-02
703,2017-11-14
704,2017-01-25
705,2016-12-24
706,2016-07-11
707,2014-05-31
708,2015-05-18
709,2015-03-09
710,2015-02-16
711,2017-04-21
712,2016-04-17
713,2015-12-10
714,
715,2017-12-03
716,2016-07-02
717,2018-01-19
718,2015-12-18
719,2014-01-30
720,2014-12-19
721,
722,2017-10-19
723,2016-10-02
724,2015-07-26
725,2015-02-28
726,2017-09-27
727,2017-05-13
728,2014-10-16
729,2016-02-08
730,2015-04-15
731,2017-04-27
732,2015-01-01
733,2017-05-10
734,2016-04-03
735,2014-08-24
736,2014-12-22
737,2016-10-10
738,
739,2016-10-23
740,2014-10-19
741,2016-06-19
742,2017-11-19
743,2016-01-04
744,2016-10-17
745,2016-01-12
746,2016-01-06
747,2016-05-25
748,2014-09-26
749,2015-02-07
750,2014-12-03
751,
752,2016-11-18
753,2017-11-05
754,2017-04-04
755,2014-12-11
756,2017-06-10
757,2016-06-09
758,
759,2014-11-03
760,
761,2016-10-26
762,
763,2015-12-26
764,2014-08-29
765,2015-08-03
766,2015-07-27
767,2015-04-09
768,2014-08-15
769,2014-01-04
770,2017-01-13
771,2015-01-24
772,2016-03-08
773,2015-05-14
774,2015-08-07
775,2017-01-28
776,2017-06-07
777,2017-12-15
778,2015-04-27
779,2016-07-02
780,2016-02-21
781,2016-05-07
782,2017-02-17
783,2017-03-08
784,2017-08-15
785,2015-11-11
786,2014-09-04
787,2017-11-21
788,2015-05-04
789,2015-11-03
790,2015-02-11
791,2017-03-18
792,2016-04-01
793,2016-09-23
794,2016-10-29
795,2017-08-30
796,2018-02-04
797,2017-04-22
798,2017-09-19
799,2015-01-29
800,2015-05-16
801,2015-12-30
802,2014-02-03
803,2018-01-25
804,2015-08-20
805,2015-06-27
806,2017-06-27
807,2016-07-06
808,2017-03-05
809,2017-06-18
810,2015-02-07
811,
812,2017-10-31
813,2015-12-10
814,2015-09-04
815,
816,2016-09-24
817,2014-11-17
818,2017-09-22
819,2014-10-21
820,2017-05-22
821,
822,2014-02-14
823,2016-04-21
824,2014-04-20
825,2014-08-05
826,2017-02-06
827,2017-12-31
828,2016-12-08
829,2017-08-06
830,
831,2015-03-06
832,2017-09-18
833,
834,
835,2017-07-19
836,2014-07-28
837,2017-06-01
838,
839,2016-02-03
840,
841,2015-01-29
842,2015-09-17
843,2014-01-20
844,2016-08-10
845,2016-02-06
846,2018-03-19
847,2016-09-11
848,2015-04-24
849,2016-06-22
850,2016-02-07
851,2017-07-21
852,2014-05-18
853,2014-06-11
854,2014-07-14
855,
856,2015-07-19
857,2014-08-07
858,2015-05-12
859,2015-03-14
860,2017-09-03
861,2015-11-06
862,
863,2017-09-15
864,2014-01-23
865,2018-01-14
866,2014-08-28
867,2016-04-20
868,2014-10-22
869,2017-01-10
870,2015-10-17
871,2014-12-28
872,2015-07-18
873,2017-09-13
874,2016-07-07
875,
876,2015-11-22
877,2015-06-28
878,2016-10-15
879,
880,2014-03-05
881,2017-02-20
882,2015-07-03
883,2017-09-29
884,2018-01-27
885,2015-12-22
886,2016-07-27
887,2016-10-01
888,
889,2016-02-15
890,2017-08-06
891,2014-08-03
892,2014-05-03
893,2016-10-05
894,
895,2017-01-23
896,2015-08-26
897,2016-12-22
898,2014-09-10
899,
900,2015-12-23
901,2017-06-19
902,
903,2015-05-27
904,2014-12-02
905,2017-01-06
906,2015-07-08
907,2018-03-31
908,2015-06-12
909,2017-05-06
910,2016-09-23
911,2017-03-31
912,2015-08-27
913,2018-03-02
914,2014-02-22
915,
916,2016-03-31
917,2016-07-17
918,
919,
920,2016-03-19
921,2014-10-08
922,2014-12-27
923,2015-04-14
924,2014-06-09
925,2016-01-13
926,
927,2016-05-13
928,2014-06-05
929,2017-05-03
930,2017-01-07
931,2017-01-21
932,2017-02-17
933,2015-01-15
934,2016-04-29
935,2015-10-26
936,2014-07-07
937,
938,
939,2014-04-18
940,2017-09-01
941,2016-12-19
942,2015-12-24
943,2015-07-26
944,2016-09-20
945,2017-03-18
946,2015-03-14
947,2016-03-21
948,2016-03-15
949,2017-12-01
950,2014-09-01
951,2016-02-11
952,
953,2017-02-10
954,2015-09-23
955,2015-08-04
956,2018-01-17
957,2017-05-28
958,2014-10-16
959,2015-08-04
960,2015-01-23
961,2016-11-18
962,2016-01-20
963,2014-10-03
964,2016-03-08
965,2015-08-18
966,2016-06-24
967,2014-01-07
968,
969,2016-06-25
970,2015-06-06
971,2014-02-18
972,
973,2015-05-27
974,2016-05-01
975,
976,2016-03-21
977,2016-11-09
978,2015-05-09
979,2016-01-14
980,2018-01-03
981,2018-02-02
982,2016-10-19
983,2014-07-29
984,2017-12-12
985,2016-06-15
986,2017-02-01
987,2016-03-27
988,2015-08-23
989,2018-03-11
990,2014-10-16
991,2017-08-26
992,
993,2016-09-01
994,
995,2016-03-05
996,2016-09-18
997,2016-03-15
998,2014-09-30
999,2017-08-11
1000,
1001,2014-07-10
1002,2016-11-13
1003,
1004,2017-05-24
1005,2017-01-17
1006,2017-01-16
1007,2018-01-07
1008,2017-07-27
1009,2018-02-08
1010,2015-12-15
1011,2014-03-25
1012,2018-01-29
1013,
1014,2016-05-08
1015,2014-06-05
1016,2014-03-15
1017,2017-12-06
1018,2014-11-27
1019,2017-04-13
1020,2016-09-13
1021,
1022,2016-01-19
1023,2014-11-26
1024,2017-06-17
1025,2014-09-18
1026,2017-03-23
1027,2015-11-14
1028,2016-09-09
1029,2016-04-15
1030,2017-01-04
1031,2016-03-20
1032,2017-05-06
1033,2016-05-23
1034,2017-10-07
1035,
1036,2016-03-22
1037,2014-09-06
1038,2016-06-20
1039,2015-05-02
1040,2015-12-20
1041,2014-07-30
1042,2014-11-25
1043,2016-08-11
1044,2018-03-13
1045,2016-09-05
1046,2014-08-24
1047,2016-08-19
1048,2016-01-30
1049,2014-09-29
1050,2015-03-21
1051,2014-09-18
1052,2015-02-25
1053,
1054,
1055,2018-02-17
1056,
1057,2014-08-25
1058,2014-07-02
1059,2016-05-15
1060,2018-03-01
1061,2015-07-24
1062,2016-05-27
1063,2016-02-15
1064,2017-08-24
1065,2015-10-26
1066,2014-06-25
1067,2017-12-02
1068,2016-01-24
1069,2017-08-13
1070,2017-05-28
1071,2017-11-14
1072,
1073,2016-10-17
1074,
1075,2014-06-14
1076,2016-04-17
1077,2017-02-12
1078,2017-02-01
1079,2015-04-09
1080,2017-01-01
1081,2017-07-14
1082,2016-05-26
1083,2014-05-28
1084,2018-01-06
1085,2017-01-19
1086,2016-08-10
1087,2015-08-21
1088,2017-12-03
1089,2015-09-15
1090,2015-11-22
1091,2017-07-04
1092,2015-06-30
1093,2016-01-16
1094,2017-01-13
1095,
1096,2017-10-03
1097,2017-12-07
1098,2017-01-17
1099,2015-01-15
1100,2015-07-07
1101,2017-02-24
1102,2017-03-12
1103,2016-09-03
1104,2016-04-07
1105,2018-03-14
1106,2016-09-11
1107,2017-12-18
1108,2015-01-22
1109,2017-07-02
1110,2016-05-11
1111,2015-10-24
1112,2017-02-14
1113,
1114,2017-01-18
1115,2017-05-17
1116,2016-09-21
1117,2016-08-30
1118,2016-11-30
1119,2017-03-28
1120,2017-02-22
1121,2016-05-27
1122,2017-04-22
1123,
1124,2017-02-08
1125,2014-09-18
1126,2015-10-29
1127,2017-11-23
1128,2017-11-01
1129,2017-08-04
1130,2017-03-21
1131,2016-01-29
1132,2015-02-27
1133,2015-09-16
1134,2014-06-23
1135,2017-09-25
1136,2016-10-14
1137,2017-08-30
1138,2014-01-07
1139,2015-11-07
1140,2017-02-27
1141,2014-07-10
1142,2016-09-16
1143,
1144,2015-05-28
1145,2017-06-05
1146,2016-02-15
1147,2017-10-07
1148,2017-05-31
1149,2015-04-01
1150,
1151,2015-01-01
1152,2015-01-07
1153,2015-05-03
1154,2017-09-20
1155,2014-04-11
1156,
1157,2014-03-08
1158,2017-08-29
1159,2015-12-27
1160,2014-02-09
1161,2017-09-22
1162,2016-08-25
1163,2016-03-22
1164,2017-03-18
1165,2016-08-07
1166,2016-07-20
1167,2016-12-01
1168,2018-03-18
1169,2014-03-21
1170,2016-11-16
1171,2014-01-15
1172,2017-07-23
1173,2014-07-17
1174,2015-08-23
1175,2016-09-17
1176,
1177,2018-02-16
1178,2015-08-26
1179,2016-03-05
1180,2017-08-10
1181,2017-07-11
1182,2014-02-19
1183,2017-07-03
1184,2015-10-31
1185,2017-09-25
1186,2016-01-02
1187,
1188,2017-08-30
1189,
1190,2015-09-23
1191,
1192,2014-08-05
1193,2017-01-05
1194,2016-02-25
1195,2017-09-01
1196,2017-12-08
1197,2017-09-04
1198,2014-04-27
1199,2015-07-28
1200,2016-11-19
1201,2016-06-20
1202,2017-04-24
1203,2017-08-28
1204,2015-02-01
1205,
1206,2017-02-21
1207,2016-04-23
1208,2016-08-05
1209,2016-08-06
1210,2017-05-29
1211,2016-03-08
1212,
1213,2014-08-10
1214,2014-07-25
1215,2017-03-21
1216,2015-09-06
1217,2016-07-13
1218,2015-01-21
1219,
1220,2016-05-31
1221,2017-06-07
1222,2018-03-03
1223,2015-11-11
1224,2017-05-03
1225,2016-02-12
1226,2017-04-29
1227,2015-12-22
1228,2015-05-30
1229,2015-09-28
1230,2014-09-17
1231,2017-01-03
1232,2014-03-31
1233,2017-05-01
1234,2017-04-07
1235,2015-08-23
1236,2015-09-19
1237,2015-10-13
1238,2016-04-26
1239,
1240,2014-07-27
1241,2017-08-18
1242,2017-07-01
1243,2014-03-05
1244,2014-02-23
1245,2016-10-14
1246,2014-02-04
1247,2017-04-07
1248,2015-10-29
1249,2017-12-31
1250,2018-01-20
1251,2017-06-17
1252,2015-11-10
1253,2016-09-08
1254,2015-03-05
1255,2017-01-08
1256,2016-06-06
1257,
1258,2014-03-11
1259,2015-11-22
1260,2016-03-23
1261,2016-05-04
1262,2016-11-23
1263,2015-02-21
1264,2017-11-12
1265,2014-01-17
1266,2017-01-15
1267,2017-08-28
1268,2016-02-03
1269,2016-01-18
1270,2016-03-04
1271,
1272,2018-01-25
1273,2014-06-28
1274,2014-01-13
1275,2017-04-08
1276,2016-08-18
1277,2016-01-05
1278,2017-06-08
1279,2014-07-14
1280,2017-09-07
1281,2016-05-26
1282,2017-09-16
1283,2017-12-01
1284,2016-12-26
1285,
1286,2018-02-09
1287,2014-11-23
1288,2015-07-18
1289,2014-05-02
1290,2014-09-10
1291,2015-12-05
1292,2017-05-29
1293,2015-12-27
1294,2016-08-24
1295,2017-07-01
1296,2015-12-12
1297,2014-07-13
1298,2016-09-27
1299,2014-02-18
1300,2018-01-22
1301,2016-10-18
1302,2014-05-07
1303,2016-11-28
1304,2017-06-08
1305,2016-01-09
1306,2017-01-14
1307,2016-07-06
1308,2016-07-17
1309,2015-10-01
1310,2017-09-27
1311,2015-01-13
1312,2015-12-26
1313,2015-11-01
1314,2014-06-05
1315,2018-01-28
1316,2014-06-11
1317,2015-04-04
1318,2015-05-24
1319,2014-04-24
1320,2016-01-23
1321,2014-01-26
1322,2016-02-09
1323,2016-05-12
1324,2017-12-31
1325,2015-09-05
1326,2017-12-17
1327,2017-07-29
1328,2017-06-01
1329,2017-02-04
1330,2016-11-18
1331,2017-06-13
1332,2017-04-20
1333,2016-11-12
1334,2015-09-18
1335,2014-07-31
1336,2016-12-15
1337,2016-05-24
1338,2016-02-05
1339,2016-09-06
1340,2015-06-04
1341,2017-10-02
1342,2016-06-16
1343,2014-08-20
1344,2016-12-17
1345,2017-01-25
1346,2014-04-26
1347,2016-05-03
1348,2015-01-10
1349,2015-06-01
1350,2014-01-08
1351,
1352,2016-09-11
1353,2015-04-19
1354,2017-08-30
1355,2017-04-20
1356,2018-03-02
1357,2017-02-28
1358,2017-10-04
1359,2015-01-10
1360,2018-03-03
1361,2014-02-01
1362,2015-07-08
1363,2017-10-01
1364,2015-05-16
1365,2017-05-09
1366,2015-07-23
1367,2016-06-10
1368,2014-07-20
1369,2016-01-19
1370,2017-07-24
1371,2016-06-20
1372,2015-07-06
1373,2014-02-25
1374,2017-02-24
1375,2017-07-30
1376,2014-02-24
1377,2014-11-30
1378,2018-02-02
1379,2018-03-09
1380,2016-07-16
1381,
1382,2016-05-31
1383,2017-01-11
1384,2014-11-04
1385,2016-09-23
1386,2015-09-17
1387,2016-08-26
1388,2016-02-27
1389,2014-06-11
1390,2014-10-17
1391,2017-05-25
1392,2014-05-16
1393,2018-02-24
1394,2014-05-16
1395,2015-09-24
1396,2014-06-07
1397,
1398,2015-03-04
1399,2016-11-28
1400,2015-05-04
1401,2014-11-25
1402,2016-04-05
1403,2014-04-17
1404,2017-01-13
1405,2016-01-18
1406,2015-05-03
1407,2014-09-13
1408,2018-02-08
1409,2015-06-25
1410,2014-06-01
1411,2014-12-29
1412,2014-02-06
1413,2018-01-27
1414,2016-12-29
1415,2017-11-11
1416,2016-03-31
1417,2016-04-10
1418,2018-01-19
1419,2018-02-02
1420,2017-05-10
1421,2015-07-03
1422,2017-03-03
1423,2015-06-02
1424,2017-06-13
1425,2017-12-03
1426,2016-11-18
1427,2018-01-16
1428,2017-10-24
1429,2015-06-17
1430,
1431,2015-09-14
1432,2017-06-10
1433,2017-07-31
1434,2017-12-09
1435,2017-12-03
1436,2015-01-28
1437,
1438,2016-07-07
1439,2016-02-17
1440,2014-05-06
1441,2015-04-02
1442,2017-12-19
1443,2016-07-24
1444,
1445,2015-11-11
1446,2014-06-23
1447,
1448,2015-06-02
1449,2014-07-08
1450,2015-08-10
1451,2014-06-29
1452,2018-03-10
1453,2015-05-30
1454,2014-10-17
1455,2016-11-01
1456,2016-07-27
1457,2014-11-18
1458,2016-08-15
1459,2015-05-17
1460,2017-11-19
1461,
1462,2014-11-20
1463,
1464,2015-10-20
1465,2014-05-07
1466,2018-03-25
1467,2015-04-01
1468,2016-04-06
1469,
1470,2014-10-13
1471,2016-04-01
1472,2015-02-02
1473,2017-09-03
1474,2014-02-28
1475,
1476,2015-10-19
1477,2017-05-26
1478,2017-09-15
1479,2017-12-21
1480,2017-01-20
1481,2017-10-25
1482,2017-04-24
1483,2018-03-08
1484,2015-12-13
1485,2015-05-11
1486,2017-05-08
1487,2016-11-06
1488,2015-05-12
1489,2016-03-21
1490,2015-03-23
1491,2016-03-26
1492,2016-02-04
1493,2015-04-19
1494,2017-02-22
1495,2017-07-21
1496,2016-03-31
1497,2017-08-27
1498,2016-03-16
1499,2014-10-11
1500,2017-11-04
1501,2014-11-02
1502,2017-06-04
1503,2015-10-08
1504,2014-03-21
1505,2017-04-04
1506,2016-04-19
1507,2014-05-11
1508,2015-05-29
1509,2017-04-26
1510,2016-06-12
1511,2014-10-11
1512,2016-10-13
1513,2016-05-04
1514,2015-07-16
1515,2016-11-18
1516,2014-02-18
1517,2016-06-19
1518,2016-05-07
1519,2014-11-18
1520,2016-02-21
1521,2017-11-22
1522,2014-07-25
1523,2016-12-10
1524,2017-07-13
1525,2015-03-06
1526,2015-07-16
1527,2015-03-25
1528,2017-09-30
1529,2017-03-23
1530,2017-04-04
1531,2016-03-09
1532,2015-10-22
1533,2018-03-04
1534,2018-03-25
1535,
1536,2014-10-19
1537,2014-10-12
1538,2016-04-28
1539,2017-03-01
1540,2015-07-23
1541,2016-06-25
1542,2017-10-31
1543,
1544,2015-06-03
1545,2015-01-31
1546,
1547,2015-08-22
1548,2014-05-01
1549,2018-01-13
1550,
1551,2017-09-15
1552,2018-03-19
1553,2014-10-04
1554,2014-06-22
1555,2016-06-18
1556,2017-02-02
1557,2015-05-26
1558,2016-03-30
1559,2018-01-09
1560,2018-03-18
1561,2014-02-07
1562,2016-04-03
1563,2016-02-01
1564,2018-02-23
1565,2014-08-08
1566,2017-06-06
1567,2017-06-21
1568,2017-09-23
1569,2015-11-03
1570,2014-09-08
1571,2015-12-26
1572,
1573,2014-02-22
1574,2016-04-03
1575,2016-04-09
1576,
1577,2015-04-13
1578,2015-08-12
1579,
1580,2015-05-28
1581,2016-03-19
1582,2014-05-05
1583,2017-11-07
1584,2016-12-03
1585,2015-07-06
1586,2016-07-03
1587,
1588,2014-12-11
1589,2016-03-28
1590,2017-04-14
1591,2018-03-04
